Country/Region,Year of estimate,Adult prevalence of HIV/AIDS,Number of people with HIV/AIDS,Annual deaths from HIV/AIDS,Cluster
Ÿsaint Kitts And Nevis,2023,0.00675,100.0,0.0,0
Ÿmauritius,2022,0.0016,667132.0,0.0,0
Ÿsingapore,2021,0.0019,9231.0,0.0,0
Ÿhong Kong,2023,0.0016,11737.0,0.0,0
Ÿpalau,2023,0.00675,310.0,0.0,0
Ÿtonga,2023,0.00675,400.0,0.0,0
Ÿjapan,2022,0.0002,21739.0,0.0,0
Ÿpuerto Rico,2023,0.00675,526.0,0.0,0
Ÿbrunei Darussalam,2024,0.00675,40.0,0.0,0
Ÿcomoros,2023,0.00675,188.0,0.0,0
Ÿniue,2023,0.00675,35.0,0.0,0
Ÿseychelles,2023,0.00675,86.0,0.0,0
Ÿkuwait,2023,0.00675,400.0,0.0,0
Ÿiceland,2022,0.00675,2000.0,0.0,0
Ÿanguilla,2024,0.00675,500.0,0.0,0
Ÿfrench Polynesia,2023,0.00675,290.0,0.0,0
Ÿsouth Korea,2023,0.0002933,1519634.0,0.0,0
Ÿnew Zealand,2023,0.00675,303335.0,0.0,0
Ÿaustria,2023,0.00675,3000.0,0.0,0
Ÿcyprus,2023,0.00675,1200.0,0.0,0
Ÿtuvalu,2022,0.052000000000000005,702.0,0.0,0
Ÿlibya,2024,0.0102,1700.0,0.0,0
Ÿchristmas Island,2024,0.00675,13.0,0.0,0
Ÿhungary,2023,0.0011,10000.0,0.0,0
Ÿromania,2024,0.00675,1660.0,0.0,0
Ÿrunion,2024,0.00675,118.0,0.0,0
Ÿso Tom And Prncipe,2023,0.00675,15600.0,0.0,0
Ÿuzbekistan,2024,0.00675,4865836.0,0.0,0
Ÿslovakia,2023,0.00675,2000.0,0.0,0
Ÿbelgium,2024,0.00675,4000.0,0.0,0
Ÿgreece,2024,0.00675,1100.0,0.0,0
Ÿvanuatu,2023,0.00675,325.0,0.0,0
Ÿmongolia,2024,0.00675,2500.0,0.0,0
Ÿbritish Virgin Islands,2024,0.00675,48.0,0.0,0
Ÿamerican Samoa,2023,0.00675,110.0,0.0,0
Ÿnauru,2024,0.00675,270.0,0.0,0
Ÿmarshall Islands,2024,0.00675,19.0,0.0,0
Ÿsaint Lucia,2025,0.00675,287.0,0.0,0
Ÿandorra,2025,0.00675,600.0,0.0,0
Ÿfederated States Of Micronesia,2025,0.00675,149.0,0.0,0
Ÿjordan,2025,0.00675,2000.0,0.0,0
Ÿluxembourg,2025,0.00675,5700.0,0.0,0
Ÿmaldives,2025,0.00675,660.0,0.0,0
